Timestamp,Object Name,Video
9.478,Zone2_MasterNode_camera,Uninitialized
9.499,Zone2_MasterNode_camera,Uninitialized
9.520,Zone2_MasterNode_camera,Uninitialized
9.548,Zone2_MasterNode_camera,Uninitialized
9.581,Zone2_MasterNode_camera,Uninitialized
9.612,Zone2_MasterNode_camera,Uninitialized
9.642,Zone2_MasterNode_camera,Uninitialized
9.674,Zone2_MasterNode_camera,Uninitialized
9.725,Zone2_MasterNode_camera,Uninitialized
9.746,Zone2_MasterNode_camera,Uninitialized
9.767,Zone2_MasterNode_camera,Uninitialized
9.796,Zone2_MasterNode_camera,Uninitialized
9.817,Zone2_MasterNode_camera,Uninitialized
9.844,Zone2_MasterNode_camera,Uninitialized
9.864,Zone2_MasterNode_camera,Uninitialized
9.884,Zone2_MasterNode_camera,Uninitialized
9.906,Zone2_MasterNode_camera,Uninitialized
9.927,Zone2_MasterNode_camera,Uninitialized
9.947,Zone2_MasterNode_camera,Uninitialized
9.967,Zone2_MasterNode_camera,Uninitialized
9.999,Zone2_MasterNode_camera,Uninitialized
10.031,Zone2_MasterNode_camera,Uninitialized
10.061,Zone2_MasterNode_camera,Uninitialized
10.093,Zone2_MasterNode_camera,Uninitialized
10.115,Zone2_MasterNode_camera,Uninitialized
10.138,Zone2_MasterNode_camera,Uninitialized
10.170,Zone2_MasterNode_camera,Uninitialized
10.191,Zone2_MasterNode_camera,Uninitialized
10.211,Zone2_MasterNode_camera,Uninitialized
10.232,Zone2_MasterNode_camera,Uninitialized
10.253,Zone2_MasterNode_camera,Uninitialized
10.273,Zone2_MasterNode_camera,Uninitialized
10.296,Zone2_MasterNode_camera,Uninitialized
10.316,Zone2_MasterNode_camera,Uninitialized
10.336,Zone2_MasterNode_camera,Uninitialized
10.356,Zone2_MasterNode_camera,Uninitialized
10.388,Zone2_MasterNode_camera,Uninitialized
10.418,Zone2_MasterNode_camera,Uninitialized
10.450,Zone2_MasterNode_camera,Uninitialized
10.471,Zone2_MasterNode_camera,Uninitialized
10.491,Zone2_MasterNode_camera,Uninitialized
10.528,Zone2_MasterNode_camera,Uninitialized
10.558,Zone2_MasterNode_camera,Uninitialized
10.589,Zone2_MasterNode_camera,Uninitialized
10.621,Zone2_MasterNode_camera,Uninitialized
10.652,Zone2_MasterNode_camera,Uninitialized
10.675,Zone2_MasterNode_camera,Uninitialized
10.696,Zone2_MasterNode_camera,Uninitialized
10.717,Zone2_MasterNode_camera,Uninitialized
10.737,Zone2_MasterNode_camera,Uninitialized
10.758,Zone2_MasterNode_camera,Uninitialized
10.782,Zone2_MasterNode_camera,Uninitialized
10.803,Zone2_MasterNode_camera,Uninitialized
10.824,Zone2_MasterNode_camera,Uninitialized
10.855,Zone2_MasterNode_camera,Uninitialized
10.888,Zone2_MasterNode_camera,Uninitialized
10.918,Zone2_MasterNode_camera,Uninitialized
10.950,Zone2_MasterNode_camera,Uninitialized
10.971,Zone2_MasterNode_camera,Uninitialized
10.991,Zone2_MasterNode_camera,Uninitialized
11.011,Zone2_MasterNode_camera,Uninitialized
11.043,Zone2_MasterNode_camera,Uninitialized
11.074,Zone2_MasterNode_camera,Uninitialized
11.105,Zone2_MasterNode_camera,Uninitialized
11.126,Zone2_MasterNode_camera,Uninitialized
11.147,Zone2_MasterNode_camera,Uninitialized
11.169,Zone2_MasterNode_camera,Uninitialized
11.221,Zone2_MasterNode_camera,Uninitialized
11.242,Zone2_MasterNode_camera,Uninitialized
11.262,Zone2_MasterNode_camera,Uninitialized
11.283,Zone2_MasterNode_camera,Uninitialized
11.306,Zone2_MasterNode_camera,Uninitialized
11.338,Zone2_MasterNode_camera,Uninitialized
11.369,Zone2_MasterNode_camera,Uninitialized
11.390,Zone2_MasterNode_camera,Uninitialized
11.412,Zone2_MasterNode_camera,Uninitialized
11.433,Zone2_MasterNode_camera,Uninitialized
11.454,Zone2_MasterNode_camera,Uninitialized
11.478,Zone2_MasterNode_camera,Uninitialized
11.499,Zone2_MasterNode_camera,Uninitialized
11.520,Zone2_MasterNode_camera,Uninitialized
11.540,Zone2_MasterNode_camera,Uninitialized
11.560,Zone2_MasterNode_camera,Uninitialized
11.581,Zone2_MasterNode_camera,Uninitialized
11.602,Zone2_MasterNode_camera,Uninitialized
11.634,Zone2_MasterNode_camera,Uninitialized
11.664,Zone2_MasterNode_camera,Uninitialized
11.697,Zone2_MasterNode_camera,Uninitialized
11.717,Zone2_MasterNode_camera,Uninitialized
11.739,Zone2_MasterNode_camera,Uninitialized
11.774,Zone2_MasterNode_camera,Uninitialized
11.794,Zone2_MasterNode_camera,Uninitialized
11.815,Zone2_MasterNode_camera,Uninitialized
11.836,Zone2_MasterNode_camera,Uninitialized
11.856,Zone2_MasterNode_camera,Uninitialized
11.876,Zone2_MasterNode_camera,Uninitialized
11.898,Zone2_MasterNode_camera,Uninitialized
11.918,Zone2_MasterNode_camera,Uninitialized
11.938,Zone2_MasterNode_camera,Uninitialized
11.975,Zone2_MasterNode_camera,Uninitialized
11.996,Zone2_MasterNode_camera,Uninitialized
12.016,Zone2_MasterNode_camera,Uninitialized
12.037,Zone2_MasterNode_camera,Uninitialized
12.060,Zone2_MasterNode_camera,Uninitialized
12.080,Zone2_MasterNode_camera,Uninitialized
12.100,Zone2_MasterNode_camera,Uninitialized
12.120,Zone2_MasterNode_camera,Uninitialized
12.145,Zone2_MasterNode_camera,Uninitialized
12.166,Zone2_MasterNode_camera,Uninitialized
12.187,Zone2_MasterNode_camera,Uninitialized
12.207,Zone2_MasterNode_camera,Uninitialized
12.228,Zone2_MasterNode_camera,Uninitialized
12.248,Zone2_MasterNode_camera,Uninitialized
12.269,Zone2_MasterNode_camera,Uninitialized
12.290,Zone2_MasterNode_camera,Uninitialized
12.313,Zone2_MasterNode_camera,Uninitialized
12.343,Zone2_MasterNode_camera,Uninitialized
12.375,Zone2_MasterNode_camera,Uninitialized
12.406,Zone2_MasterNode_camera,Uninitialized
12.438,Zone2_MasterNode_camera,Uninitialized
12.462,Zone2_MasterNode_camera,Uninitialized
12.483,Zone2_MasterNode_camera,Uninitialized
12.516,Zone2_MasterNode_camera,Uninitialized
12.537,Zone2_MasterNode_camera,Uninitialized
12.557,Zone2_MasterNode_camera,Uninitialized
12.578,Zone2_MasterNode_camera,Uninitialized
12.600,Zone2_MasterNode_camera,Uninitialized
12.620,Zone2_MasterNode_camera,Uninitialized
12.642,Zone2_MasterNode_camera,Uninitialized
12.673,Zone2_MasterNode_camera,Uninitialized
12.705,Zone2_MasterNode_camera,Uninitialized
12.735,Zone2_MasterNode_camera,Uninitialized
12.766,Zone2_MasterNode_camera,Uninitialized
12.797,Zone2_MasterNode_camera,Uninitialized
12.829,Zone2_MasterNode_camera,Uninitialized
12.860,Zone2_MasterNode_camera,Uninitialized
12.892,Zone2_MasterNode_camera,Uninitialized
12.920,Zone2_MasterNode_camera,Uninitialized
12.952,Zone2_MasterNode_camera,Uninitialized
12.973,Zone2_MasterNode_camera,Uninitialized
12.993,Zone2_MasterNode_camera,Uninitialized
13.030,Zone2_MasterNode_camera,Uninitialized
13.061,Zone2_MasterNode_camera,Uninitialized
13.092,Zone2_MasterNode_camera,Uninitialized
13.124,Zone2_MasterNode_camera,Uninitialized
13.154,Zone2_MasterNode_camera,Uninitialized
13.175,Zone2_MasterNode_camera,Uninitialized
13.196,Zone2_MasterNode_camera,Uninitialized
13.216,Zone2_MasterNode_camera,Uninitialized
13.249,Zone2_MasterNode_camera,Uninitialized
13.280,Zone2_MasterNode_camera,Uninitialized
13.310,Zone2_MasterNode_camera,Uninitialized
13.331,Zone2_MasterNode_camera,Uninitialized
13.351,Zone2_MasterNode_camera,Uninitialized
13.388,Zone2_MasterNode_camera,Uninitialized
13.418,Zone2_MasterNode_camera,Uninitialized
13.439,Zone2_MasterNode_camera,Uninitialized
13.463,Zone2_MasterNode_camera,Uninitialized
13.485,Zone2_MasterNode_camera,Uninitialized
13.507,Zone2_MasterNode_camera,Uninitialized
13.540,Zone2_MasterNode_camera,Uninitialized
13.562,Zone2_MasterNode_camera,Uninitialized
13.583,Zone2_MasterNode_camera,Uninitialized
13.617,Zone2_MasterNode_camera,Uninitialized
13.649,Zone2_MasterNode_camera,Uninitialized
13.680,Zone2_MasterNode_camera,Uninitialized
13.700,Zone2_MasterNode_camera,Uninitialized
13.724,Zone2_MasterNode_camera,Uninitialized
13.755,Zone2_MasterNode_camera,Uninitialized
13.787,Zone2_MasterNode_camera,Uninitialized
13.807,Zone2_MasterNode_camera,Uninitialized
13.828,Zone2_MasterNode_camera,Uninitialized
13.849,Zone2_MasterNode_camera,Uninitialized
13.870,Zone2_MasterNode_camera,Uninitialized
13.890,Zone2_MasterNode_camera,Uninitialized
13.910,Zone2_MasterNode_camera,Uninitialized
13.930,Zone2_MasterNode_camera,Uninitialized
13.959,Zone2_MasterNode_camera,Uninitialized
13.979,Zone2_MasterNode_camera,Uninitialized
14.005,Zone2_MasterNode_camera,Uninitialized
14.025,Zone2_MasterNode_camera,Uninitialized
14.045,Zone2_MasterNode_camera,Uninitialized
14.067,Zone2_MasterNode_camera,Uninitialized
14.088,Zone2_MasterNode_camera,Uninitialized
14.113,Zone2_MasterNode_camera,Uninitialized
14.134,Zone2_MasterNode_camera,Uninitialized
14.154,Zone2_MasterNode_camera,Uninitialized
14.175,Zone2_MasterNode_camera,Uninitialized
14.206,Zone2_MasterNode_camera,Uninitialized
